Государственный регистрационный номер выпуска,Эмитент,Цена (в процентах от номинала) одной ценной бумаги,"Cтоимость одной ценной бумаги,  определенная в порядке,  установленном Банком России (руб.)","Поправочный коэффициент, установленный Банком России",ISIN,Дата погашения*
RU35002KND0,КРАСНОДАРСКИЙ КРАЙ,983200,7374,098,RU000A0ZZ8X4,28.08.2023
RU35003KND0,КРАСНОДАРСКИЙ КРАЙ,938600,9386,098,RU000A1011B5,06.11.2024
RU34012KNA0,КРАСНОЯРСКИЙ КРАЙ,1009300,252325,098,RU000A0JWXF0,24.10.2023
RU34013KNA0,КРАСНОЯРСКИЙ КРАЙ,984300,738225,098,RU000A0ZYCM2,04.10.2023
RU35014KNA0,КРАСНОЯРСКИЙ КРАЙ,985500,739125,098,RU000A0ZYFB8,01.11.2023
RU35015KNA0,КРАСНОЯРСКИЙ КРАЙ,981900,39276,098,RU000A0ZZC48,04.10.2023
RU35016KNA0,КРАСНОЯРСКИЙ КРАЙ,1003400,60204,098,RU000A0ZZM87,15.12.2022
RU35001KUR0,КУРСКАЯ ОБЛАСТЬ,985100,443295,098,RU000A0ZYCD1,13.07.2023
RU34011LIP0,ЛИПЕЦКАЯ ОБЛАСТЬ,964700,38588,098,RU000A1013T3,22.11.2023
RU34012LIP0,ЛИПЕЦКАЯ ОБЛАСТЬ,942500,5655,098,RU000A102598,18.09.2023
RU35010LIP0,ЛИПЕЦКАЯ ОБЛАСТЬ,984800,39392,098,RU000A0ZZR33,23.10.2023
RU34011MOO0,МОСКОВСКАЯ ОБЛАСТЬ,1000300,250075,098,RU000A0ZYML3,21.12.2022
RU34012MOO0,МОСКОВСКАЯ ОБЛАСТЬ,980800,4904,098,RU000A100XP4,09.10.2023
RU34013MOO0,МОСКОВСКАЯ ОБЛАСТЬ,982900,9829,098,RU000A101988,22.12.2022
RU34014MOO0,МОСКОВСКАЯ ОБЛАСТЬ,959700,9597,098,RU000A101WL3,10.07.2023
RU35010MOO0,МОСКОВСКАЯ ОБЛАСТЬ,1017900,356265,098,RU000A0JX0B9,20.11.2023
RU35015MOO0,МОСКОВСКАЯ ОБЛАСТЬ,939400,9394,098,RU000A102CR0,12.02.2024
RU35016MOO0,МОСКОВСКАЯ ОБЛАСТЬ,947000,947,098,RU000A102G35,05.06.2023
RU35001NEN0,НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ,987700,19754,098,RU000A0ZYF61,03.05.2023
RU35011NJG0,НИЖЕГОРОДСКАЯ ОБЛАСТЬ,1012200,25305,098,RU000A0JWLD0,21.06.2023
